"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"08/01/2025";"0200";"20,2";"";"";"74,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"08/01/2025";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"08/01/2025";"0400";"18,9";"";"";"80,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"08/01/2025";"0500";"17,5";"";"";"84,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"08/01/2025";"0600";"17,0";"";"";"86,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"08/01/2025";"0700";"16,9";"";"";"86,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"08/01/2025";"0800";"17,1";"";"";"85,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"08/01/2025";"0900";"16,4";"";"";"88,1";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"08/01/2025";"1000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"08/01/2025";"1100";"19,6";"";"";"71,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"08/01/2025";"1200";"23,3";"";"";"59,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"08/01/2025";"1300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"08/01/2025";"1400";"27,3";"";"";"49,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"08/01/2025";"1500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"08/01/2025";"1600";"24,1";"";"";"83,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"4,0"
"08/01/2025";"1700";"21,6";"";"";"83,1";"";"";"";"";"";"";"";"";"0,0";"";"";"";"4,8"
"08/01/2025";"1800";"21,3";"";"";"86,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,2"
"08/01/2025";"1900";"23,1";"";"";"71,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"08/01/2025";"2000";"24,4";"";"";"70,1";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"08/01/2025";"2100";"23,8";"";"";"68,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"08/01/2025";"2200";"21,8";"";"";"70,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"08/01/2025";"2300";"21,5";"";"";"71,1";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
